epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1327.58,0.70438,0.48817,0.82213,0.9356,0.93146,0.97425,0.74206,0.75886,0.44761,0.8327,6.73577e-05,6.73577e-05,6.73577e-05
65,1348.32,0.6922,0.47892,0.81791,0.93004,0.93854,0.97393,0.74256,0.75215,0.44577,0.83218,6.55856e-05,6.55856e-05,6.55856e-05
66,1369,0.6959,0.47872,0.82264,0.93115,0.94039,0.97372,0.74429,0.74928,0.44566,0.83063,6.38135e-05,6.38135e-05,6.38135e-05
67,1389.9,0.696,0.48116,0.82158,0.93566,0.93005,0.97228,0.74147,0.74736,0.44426,0.83108,6.20414e-05,6.20414e-05,6.20414e-05
68,1410.49,0.69963,0.47501,0.82129,0.92528,0.94884,0.97102,0.74201,0.74456,0.44362,0.83087,6.02693e-05,6.02693e-05,6.02693e-05
69,1431.05,0.70641,0.48223,0.82201,0.92679,0.94879,0.9745,0.74111,0.74986,0.44206,0.8314,5.84972e-05,5.84972e-05,5.84972e-05
70,1451.65,0.6927,0.47487,0.82169,0.91564,0.95058,0.97317,0.74202,0.74659,0.43916,0.83202,5.67251e-05,5.67251e-05,5.67251e-05
71,1472.13,0.69255,0.46883,0.82228,0.92888,0.9503,0.97284,0.74049,0.75099,0.44392,0.83161,5.4953e-05,5.4953e-05,5.4953e-05
72,1492.48,0.69369,0.46758,0.81716,0.90581,0.95371,0.97081,0.74553,0.74894,0.44704,0.83114,5.31809e-05,5.31809e-05,5.31809e-05
73,1513.02,0.68444,0.46549,0.8235,0.93022,0.92953,0.97266,0.74058,0.74348,0.44376,0.83028,5.14088e-05,5.14088e-05,5.14088e-05
74,1533.59,0.68743,0.46967,0.82061,0.91605,0.94998,0.9729,0.74577,0.73645,0.4379,0.82746,4.96367e-05,4.96367e-05,4.96367e-05
75,1554.01,0.68201,0.46237,0.81522,0.91347,0.9529,0.97441,0.74921,0.7405,0.43559,0.83019,4.78646e-05,4.78646e-05,4.78646e-05
76,1574.44,0.68103,0.45954,0.82143,0.92128,0.94236,0.97354,0.74971,0.73917,0.43839,0.83054,4.60925e-05,4.60925e-05,4.60925e-05
77,1595.01,0.67739,0.46071,0.81761,0.93586,0.94684,0.97747,0.75265,0.73748,0.43298,0.82935,4.43204e-05,4.43204e-05,4.43204e-05
78,1615.64,0.67398,0.45176,0.8145,0.93305,0.95001,0.97372,0.7476,0.7372,0.4395,0.82737,4.25483e-05,4.25483e-05,4.25483e-05
79,1636.24,0.67775,0.45631,0.81637,0.93369,0.94336,0.97576,0.75062,0.7405,0.43771,0.82975,4.07762e-05,4.07762e-05,4.07762e-05
80,1656.82,0.679,0.45597,0.81819,0.94707,0.9362,0.97631,0.74926,0.742,0.43446,0.83101,3.90041e-05,3.90041e-05,3.90041e-05
81,1677.42,0.66662,0.4495,0.81714,0.93408,0.94572,0.97749,0.7505,0.73813,0.43129,0.82899,3.7232e-05,3.7232e-05,3.7232e-05
82,1698.22,0.66843,0.44558,0.81795,0.92739,0.94846,0.97567,0.74855,0.73787,0.43208,0.82792,3.54599e-05,3.54599e-05,3.54599e-05
